username,userid,profile_location,created_at,text,retweet_count,source,coordinates
✨Reina Católica de E.E.U.U.✨,1235570957865103360,"New York, USA",2023-03-04 03:18:08,"@st_boniface_axe Not sure,the LGBTQ community is a hot topic nowadays so yes many will identify that way but having… https://t.co/aFbBv7O5V7",0,Twitter for Android,
Out Magazine,21713274,"New York, NY",2023-03-04 02:46:28,These @CalvinKlein campaigns are unforgettable! https://t.co/DCbcjTe51X,4,RebelMouse Application,
Abe Greenwald,96448005,New York,2023-03-04 02:37:54,The old-guard gay argument against current LGBTQ and trans activism is identical to the conservative argument again… https://t.co/KhSSdl14Nd,4,Twitter for iPhone,
Nicky Frank,6355882,"New York City (or Tremont, ME)",2023-03-04 02:20:50,LGBTQ ally engaging into right wing homophobic rhetoric. Nothing but complete phonies on their way to MAGAland. https://t.co/A4cy7NgWFt,1,Twitter for iPhone,
Association of LGBTQ+ Corporate Directors,1541961890498088960,"New York, USA",2023-03-04 02:16:47,The @LGBTQCorp Association of #LGBTQ+ Corporate Directors congratulated our friends at @PFLAG for 50 years of… https://t.co/8Tcjy0jgFj,1,Twitter for iPhone,
Sawyer Seminar at Rutgers Newark,1512134862987177985,"Newark, New Jersey",2023-03-04 02:14:48,"Just 4 away from the Wakanda Forever film screening and 5 for the ""Black Citizenship"" seminar!
Check our bio for mo… https://t.co/dauSyZhaZo",2,Twitter Web App,
Fabrice C Houdart,2365960728,"New York, USA",2023-03-04 02:03:27,So happy to celebrate @PFLAG’s 50th anniversary tonight in #NYC. As the #LGBTQ+ community is once again vilified in… https://t.co/j6RMvlsYeV,3,Twitter for iPhone,
American Stereo,3261939003,New York City,2023-03-04 01:42:28,@pfrpeppermint @BreitbartNews You're a Christian in name only. It appears you support the lefts LGBTQ mafia and 3rd… https://t.co/nr1Nbovwq2,0,Twitter Web App,
🟣S.L. PrayersforPeace🙏🏼🌻,33360006,"New York, NY",2023-03-04 01:39:59,Yeah? So whats up with the bans on LGBTQ+ folks? Trans bans? Abortion bans? You want gov to have no say in people’s… https://t.co/RWWlR1M6vW,5,Twitter for iPhone,
Kristina Hoti,261053776,New York,2023-03-04 01:39:54,"@KariLake @Moms4Liberty @CPAC Ban books, erase BIPOC American history, and snuff out LGBTQ children and families. N… https://t.co/HJrP06aNIj",0,Twitter for iPhone,
Mark Michael Stephens,206762981,"New York, NY",2023-03-04 01:33:10,"@yamane_patricia Don’t move to Russia. Please. Not only is it a communist state, it’s also very anti-LGBTQ.",0,Twitter for iPhone,
The New Republic,82689705,"New York, NY",2023-03-04 01:29:30,A new Florida bill is part of not only a nationwide spate of anti-LGBTQ legislation but also a related campaign to… https://t.co/L5kcs3iluV,1,Echobox,
Sean Lange,1166852850946891781,New York,2023-03-04 01:26:33,"@the_debijackson @CubicleApril @RebelComicNerd Your goals are noble, but personally I think its more beneficial to… https://t.co/UnUW2BHkVa",0,Twitter for Android,
SALEM☆MOON,351131639,"Jersey City, NJ",2023-03-04 01:21:27,@CallMeCiejeHero @YonaaMariee_ @doitmuvaaa std panels don’t require a reason. Med insurance covers annual (1) routi… https://t.co/sxjQ3uKipY,0,Twitter for iPhone,
